Technology_Types,Measure,Country,Year,OBS_VALUE,Log_OBS_VALUE,Availability_Category
Mammographs,Number,Mexico,2012,1062,3.03,High
Radiation therapy equipment,Number,Mexico,2012,181,2.26,Medium
Computed Tomography scanners,Number,Netherlands,2012,183,2.26,Medium
Magnetic Resonance Imaging units,Number,Netherlands,2012,198,2.3,Medium
Positron Emission Tomography (PET) scanners,Number,Netherlands,2012,52,1.72,Low
Gamma cameras,Number,Netherlands,2012,174,2.24,Medium
Computed Tomography scanners,Number,New Zealand,2012,68,1.83,Low
Magnetic Resonance Imaging units,Number,New Zealand,2012,49,1.69,Low
Positron Emission Tomography (PET) scanners,Number,New Zealand,2012,5,0.7,Very Low
Gamma cameras,Number,New Zealand,2012,15,1.18,Low
Mammographs,Number,New Zealand,2012,110,2.04,Medium
Radiation therapy equipment,Number,New Zealand,2012,44,1.64,Low
Computed Tomography scanners,Number,Poland,2012,586,2.77,Medium
Magnetic Resonance Imaging units,Number,Poland,2012,209,2.32,Medium
Positron Emission Tomography (PET) scanners,Number,Poland,2012,17,1.23,Low
Gamma cameras,Number,Poland,2012,121,2.08,Medium
Mammographs,Number,Poland,2012,472,2.67,Medium
Computed Tomography scanners,Number,Slovak Republic,2012,84,1.92,Low
Magnetic Resonance Imaging units,Number,Slovak Republic,2012,34,1.53,Low
Positron Emission Tomography (PET) scanners,Number,Slovak Republic,2012,5,0.7,Very Low
Gamma cameras,Number,Slovak Republic,2012,34,1.53,Low
Mammographs,Number,Slovak Republic,2012,81,1.91,Low
Radiation therapy equipment,Number,Slovak Republic,2012,66,1.82,Low
Computed Tomography scanners,Number,Spain,2012,804,2.91,Medium
Magnetic Resonance Imaging units,Number,Spain,2012,691,2.84,Medium
Positron Emission Tomography (PET) scanners,Number,Spain,2012,67,1.83,Low
Gamma cameras,Number,Spain,2012,291,2.46,Medium
Mammographs,Number,Spain,2012,722,2.86,Medium
Radiation therapy equipment,Number,Spain,2012,224,2.35,Medium
Computed Tomography scanners,Number,Switzerland,2012,277,2.44,Medium
Positron Emission Tomography (PET) scanners,Number,Switzerland,2012,26,1.41,Low
Mammographs,Number,Switzerland,2012,263,2.42,Medium
Radiation therapy equipment,Number,Switzerland,2012,132,2.12,Medium
Computed Tomography scanners,Number,Turkish,2012,1017,3.01,High
Magnetic Resonance Imaging units,Number,Turkish,2012,720,2.86,Medium
Positron Emission Tomography (PET) scanners,Number,Turkish,2012,71,1.85,Low
Gamma cameras,Number,Turkish,2012,210,2.32,Medium
Mammographs,Number,Turkish,2012,936,2.97,Medium
Radiation therapy equipment,Number,Turkish,2012,180,2.26,Medium
Computed Tomography scanners,Number,United States,2012,13775,4.14,Very High
Magnetic Resonance Imaging units,Number,United States,2012,10815,4.03,Very High
Positron Emission Tomography (PET) scanners,Number,United States,2012,1570,3.2,High
Mammographs,Number,United States,2012,12474,4.1,Very High
Radiation therapy equipment,Number,United States,2012,3915,3.59,High
Computed Tomography scanners,Number,Brazil,2012,3261,3.51,High
Magnetic Resonance Imaging units,Number,Brazil,2012,1439,3.16,High
Computed Tomography scanners,Number,Chile,2012,195,2.29,Medium
Magnetic Resonance Imaging units,Number,Chile,2012,77,1.89,Low
Positron Emission Tomography (PET) scanners,Number,Chile,2012,7,0.85,Very Low
Gamma cameras,Number,Chile,2012,29,1.46,Low
Mammographs,Number,Chile,2012,245,2.39,Medium
Radiation therapy equipment,Number,Chile,2012,29,1.46,Low
Computed Tomography scanners,Number,Estonia,2012,23,1.36,Low
Magnetic Resonance Imaging units,Number,Estonia,2012,13,1.11,Low
Gamma cameras,Number,Estonia,2012,3,0.48,Very Low
Positron Emission Tomography (PET) scanners,Number,Estonia,2012,3,0.48,Very Low
Radiation therapy equipment,Number,Estonia,2012,5,0.7,Very Low
Computed Tomography scanners,Number,Israel,2012,70,1.85,Low
Positron Emission Tomography (PET) scanners,Number,Israel,2012,6,0.78,Very Low
Magnetic Resonance Imaging units,Number,Israel,2012,26,1.41,Low
Gamma cameras,Number,Israel,2012,76,1.88,Low
Radiation therapy equipment,Number,Israel,2012,31,1.49,Low
Computed Tomography scanners,Number,Russia,2012,1301,3.11,High
Magnetic Resonance Imaging units,Number,Russia,2012,597,2.78,Medium
Computed Tomography scanners,Number,Slovenia,2012,26,1.41,Low
Magnetic Resonance Imaging units,Number,Slovenia,2012,18,1.26,Low
Positron Emission Tomography (PET) scanners,Number,Slovenia,2012,2,0.3,Very Low
Gamma cameras,Number,Slovenia,2012,17,1.23,Low
Mammographs,Number,Slovenia,2012,36,1.56,Low
Radiation therapy equipment,Number,Slovenia,2012,12,1.08,Low
Computed Tomography scanners,Per million population,Australia,2012,50.5,1.7,Low
Magnetic Resonance Imaging units,Per million population,Australia,2012,5.5,0.74,Very Low
Positron Emission Tomography (PET) scanners,Per million population,Australia,2012,1.85,0.27,Very Low
Gamma cameras,Per million population,Australia,2012,20.06,1.3,Low
Mammographs,Per million population,Australia,2012,22.74,1.36,Low
Radiation therapy equipment,Per million population,Australia,2012,9.72,0.99,Very Low
Computed Tomography scanners,Per million population,Austria,2012,29.77,1.47,Low
Magnetic Resonance Imaging units,Per million population,Austria,2012,19.1,1.28,Low
Positron Emission Tomography (PET) scanners,Per million population,Austria,2012,2.02,0.31,Very Low
Gamma cameras,Per million population,Austria,2012,12.1,1.08,Low
Radiation therapy equipment,Per million population,Austria,2012,4.86,0.69,Very Low
Magnetic Resonance Imaging units,Per million population,Belgium,2012,10.62,1.03,Low
Positron Emission Tomography (PET) scanners,Per million population,Belgium,2012,2.43,0.39,Very Low
Gamma cameras,Per million population,Belgium,2012,28.81,1.46,Low
Mammographs,Per million population,Belgium,2012,37.99,1.58,Low
Radiation therapy equipment,Per million population,Belgium,2012,15.04,1.18,Low
Computed Tomography scanners,Per million population,Canada,2012,14.69,1.17,Low
Magnetic Resonance Imaging units,Per million population,Canada,2012,8.87,0.95,Very Low
Positron Emission Tomography (PET) scanners,Per million population,Canada,2012,1.21,0.08,Very Low
Gamma cameras,Per million population,Canada,2012,20.74,1.32,Low
Mammographs,Per million population,Canada,2012,15.99,1.2,Low
Computed Tomography scanners,Per million population,Czechia,2012,15.03,1.18,Low
Positron Emission Tomography (PET) scanners,Per million population,Czechia,2012,0.76,-0.12,Very Low
Magnetic Resonance Imaging units,Per million population,Czechia,2012,6.95,0.84,Very Low
Gamma cameras,Per million population,Czechia,2012,11.32,1.05,Low
Mammographs,Per million population,Czechia,2012,12.37,1.09,Low
Radiation therapy equipment,Per million population,Czechia,2012,8.37,0.92,Very Low
Computed Tomography scanners,Per million population,Denmark,2012,33.09,1.52,Low
Computed Tomography scanners,Per million population,Finland,2012,21.8,1.34,Low
Magnetic Resonance Imaging units,Per million population,Finland,2012,21.61,1.33,Low
Positron Emission Tomography (PET) scanners,Per million population,Finland,2012,2.22,0.35,Very Low
Mammographs,Per million population,Finland,2012,29.18,1.47,Low
Radiation therapy equipment,Per million population,Finland,2012,9.6,0.98,Very Low
Computed Tomography scanners,Per million population,France,2012,13.49,1.13,Low
Magnetic Resonance Imaging units,Per million population,France,2012,8.65,0.94,Very Low
Positron Emission Tomography (PET) scanners,Per million population,France,2012,1.36,0.13,Very Low
Gamma cameras,Per million population,France,2012,5.79,0.76,Very Low
Computed Tomography scanners,Per million population,Germany,2012,34.01,1.53,Low
Magnetic Resonance Imaging units,Per million population,Germany,2012,28.66,1.46,Low
Computed Tomography scanners,Per million population,Greece,2012,33.41,1.52,Low
Magnetic Resonance Imaging units,Per million population,Greece,2012,21.91,1.34,Low
Positron Emission Tomography (PET) scanners,Per million population,Greece,2012,0.45,-0.35,Very Low
Gamma cameras,Per million population,Greece,2012,14.31,1.16,Low
Mammographs,Per million population,Greece,2012,55.5,1.74,Low
Radiation therapy equipment,Per million population,Greece,2012,5.98,0.78,Very Low
Positron Emission Tomography (PET) scanners,Per million population,Hungary,2012,0.4,-0.4,Very Low
Gamma cameras,Per million population,Hungary,2012,10.89,1.04,Low
Mammographs,Per million population,Hungary,2012,14.41,1.16,Low
Radiation therapy equipment,Per million population,Hungary,2012,4.23,0.63,Very Low
Computed Tomography scanners,Per million population,Iceland,2012,40.53,1.61,Low
Magnetic Resonance Imaging units,Per million population,Iceland,2012,21.83,1.34,Low
Gamma cameras,Per million population,Iceland,2012,6.24,0.8,Very Low
Mammographs,Per million population,Iceland,2012,15.59,1.19,Low
Radiation therapy equipment,Per million population,Iceland,2012,12.47,1.1,Low
Computed Tomography scanners,Per million population,Ireland,2012,16.74,1.22,Low
Magnetic Resonance Imaging units,Per million population,Ireland,2012,12.39,1.09,Low
Positron Emission Tomography (PET) scanners,Per million population,Ireland,2012,1.74,0.24,Very Low
Gamma cameras,Per million population,Ireland,2012,6.52,0.81,Very Low
Mammographs,Per million population,Ireland,2012,13.7,1.14,Low
Radiation therapy equipment,Per million population,Ireland,2012,10,1,Very Low
Computed Tomography scanners,Per million population,Italy,2012,33.29,1.52,Low
Magnetic Resonance Imaging units,Per million population,Italy,2012,24.62,1.39,Low
Positron Emission Tomography (PET) scanners,Per million population,Italy,2012,2.72,0.43,Very Low
Gamma cameras,Per million population,Italy,2012,10.67,1.03,Low
Mammographs,Per million population,Italy,2012,33.47,1.52,Low
Radiation therapy equipment,Per million population,Italy,2012,6.99,0.84,Very Low
Computed Tomography scanners,Per million population,Korea,2012,36.93,1.57,Low
Magnetic Resonance Imaging units,Per million population,Korea,2012,23.37,1.37,Low
Positron Emission Tomography (PET) scanners,Per million population,Korea,2012,3.8,0.58,Very Low
Gamma cameras,Per million population,Korea,2012,5.5,0.74,Very Low
Mammographs,Per million population,Korea,2012,54.6,1.74,Low
Radiation therapy equipment,Per million population,Korea,2012,5.4,0.73,Very Low
Computed Tomography scanners,Per million population,Luxembourg,2012,24.48,1.39,Low
Magnetic Resonance Imaging units,Per million population,Luxembourg,2012,13.18,1.12,Low
Positron Emission Tomography (PET) scanners,Per million population,Luxembourg,2012,1.88,0.27,Very Low
Gamma cameras,Per million population,Luxembourg,2012,16.95,1.23,Low
Mammographs,Per million population,Luxembourg,2012,13.18,1.12,Low
Radiation therapy equipment,Per million population,Luxembourg,2012,5.65,0.75,Very Low
Computed Tomography scanners,Per million population,Mexico,2012,5.13,0.71,Very Low
Magnetic Resonance Imaging units,Per million population,Mexico,2012,2.08,0.32,Very Low
Positron Emission Tomography (PET) scanners,Per million population,Mexico,2012,0.06,-1.22,Very Low
Gamma cameras,Per million population,Mexico,2012,0.44,-0.36,Very Low
Mammographs,Per million population,Mexico,2012,9.08,0.96,Very Low
Radiation therapy equipment,Per million population,Mexico,2012,1.55,0.19,Very Low
Computed Tomography scanners,Per million population,Netherlands,2012,10.92,1.04,Low
Magnetic Resonance Imaging units,Per million population,Netherlands,2012,11.82,1.07,Low
Positron Emission Tomography (PET) scanners,Per million population,Netherlands,2012,3.1,0.49,Very Low
Gamma cameras,Per million population,Netherlands,2012,10.38,1.02,Low
Computed Tomography scanners,Per million population,New Zealand,2012,15.43,1.19,Low
Magnetic Resonance Imaging units,Per million population,New Zealand,2012,11.12,1.05,Low
Positron Emission Tomography (PET) scanners,Per million population,New Zealand,2012,1.13,0.05,Very Low
Gamma cameras,Per million population,New Zealand,2012,3.4,0.53,Very Low
Mammographs,Per million population,New Zealand,2012,24.95,1.4,Low
Radiation therapy equipment,Per million population,New Zealand,2012,9.98,1,Very Low
Computed Tomography scanners,Per million population,Poland,2012,15.4,1.19,Low
Magnetic Resonance Imaging units,Per million population,Poland,2012,5.49,0.74,Very Low
Positron Emission Tomography (PET) scanners,Per million population,Poland,2012,0.45,-0.35,Very Low
Gamma cameras,Per million population,Poland,2012,3.18,0.5,Very Low
Mammographs,Per million population,Poland,2012,12.4,1.09,Low
Computed Tomography scanners,Per million population,Slovak Republic,2012,15.53,1.19,Low
Magnetic Resonance Imaging units,Per million population,Slovak Republic,2012,6.29,0.8,Very Low
Positron Emission Tomography (PET) scanners,Per million population,Slovak Republic,2012,0.92,-0.04,Very Low
Gamma cameras,Per million population,Slovak Republic,2012,6.29,0.8,Very Low
Mammographs,Per million population,Slovak Republic,2012,14.98,1.18,Low
Radiation therapy equipment,Per million population,Slovak Republic,2012,12.21,1.09,Low
Computed Tomography scanners,Per million population,Spain,2012,17.19,1.24,Low
Magnetic Resonance Imaging units,Per million population,Spain,2012,14.77,1.17,Low
Positron Emission Tomography (PET) scanners,Per million population,Spain,2012,1.43,0.16,Very Low
Gamma cameras,Per million population,Spain,2012,6.22,0.79,Very Low
Mammographs,Per million population,Spain,2012,15.44,1.19,Low
Radiation therapy equipment,Per million population,Spain,2012,4.79,0.68,Very Low
Computed Tomography scanners,Per million population,Switzerland,2012,34.64,1.54,Low
Positron Emission Tomography (PET) scanners,Per million population,Switzerland,2012,3.25,0.51,Very Low
Mammographs,Per million population,Switzerland,2012,32.89,1.52,Low
Radiation therapy equipment,Per million population,Switzerland,2012,16.51,1.22,Low
Positron Emission Tomography (PET) scanners,Per million population,Turkish,2012,0.94,-0.03,Very Low
Computed Tomography scanners,Per million population,Turkish,2012,13.53,1.13,Low
Magnetic Resonance Imaging units,Per million population,Turkish,2012,9.58,0.98,Very Low
Gamma cameras,Per million population,Turkish,2012,2.79,0.45,Very Low
Mammographs,Per million population,Turkish,2012,12.45,1.1,Low
Radiation therapy equipment,Per million population,Turkish,2012,2.39,0.38,Very Low
Computed Tomography scanners,Per million population,United States,2012,43.89,1.64,Low
Magnetic Resonance Imaging units,Per million population,United States,2012,34.46,1.54,Low
Positron Emission Tomography (PET) scanners,Per million population,United States,2012,5,0.7,Very Low
Mammographs,Per million population,United States,2012,39.74,1.6,Low
Radiation therapy equipment,Per million population,United States,2012,12.47,1.1,Low
Computed Tomography scanners,Per million population,Brazil,2012,16.44,1.22,Low
Magnetic Resonance Imaging units,Per million population,Brazil,2012,7.26,0.86,Very Low
Computed Tomography scanners,Per million population,Chile,2012,11.18,1.05,Low
Magnetic Resonance Imaging units,Per million population,Chile,2012,4.41,0.64,Very Low
Positron Emission Tomography (PET) scanners,Per million population,Chile,2012,0.4,-0.4,Very Low
Gamma cameras,Per million population,Chile,2012,1.66,0.22,Very Low
Mammographs,Per million population,Chile,2012,14.05,1.15,Low
Radiation therapy equipment,Per million population,Chile,2012,1.66,0.22,Very Low
Computed Tomography scanners,Per million population,Estonia,2012,17.39,1.24,Low
Magnetic Resonance Imaging units,Per million population,Estonia,2012,9.83,0.99,Very Low
Positron Emission Tomography (PET) scanners,Per million population,Estonia,2012,2.27,0.36,Very Low
Gamma cameras,Per million population,Estonia,2012,2.27,0.36,Very Low
Radiation therapy equipment,Per million population,Estonia,2012,3.78,0.58,Very Low
Computed Tomography scanners,Per million population,Israel,2012,8.85,0.95,Very Low
Magnetic Resonance Imaging units,Per million population,Israel,2012,3.29,0.52,Very Low
Positron Emission Tomography (PET) scanners,Per million population,Israel,2012,0.76,-0.12,Very Low
Gamma cameras,Per million population,Israel,2012,9.61,0.98,Very Low
Radiation therapy equipment,Per million population,Israel,2012,3.92,0.59,Very Low
Computed Tomography scanners,Per million population,Russia,2012,9.09,0.96,Very Low
Magnetic Resonance Imaging units,Per million population,Russia,2012,4.17,0.62,Very Low
Computed Tomography scanners,Per million population,Slovenia,2012,12.64,1.1,Low
Magnetic Resonance Imaging units,Per million population,Slovenia,2012,8.75,0.94,Very Low
Positron Emission Tomography (PET) scanners,Per million population,Slovenia,2012,0.97,-0.01,Very Low
